RK,NAME,KEEP?,POS,,TEAM,AGE,SALARY,FP,/GP,VORP,/$,ADP,DIFF.,,ADJ,GP,TOI,G,A,PTS,SOG,PPG,PPP,SHG,SHP,BLK,HIT,+/-,PIM,GWG,FOW,FOL,FO%,,GP,W,L,OTL,SO,SV,GA,SV%,GAA
469,Barrett Hayton,N,C,99,UTA,25,$2.7,325.7,4.3,-187.0,-28.0,—,N/A,, ,75,16.8,17,23,40,148,4,10,0,0,41,42,0,34,3,520,470,53%,,,,,,,,,,
226,Ben Chiarot,N,D,99,DET,34,$4.8,277.6,3.4,-45.2,-6.8,—,N/A,, ,81,20.4,4,13,17,107,0,0,0,0,147,130,-6,53,1,0,0,0%,,,,,,,,,,
265,Blake Coleman,N,"C,LW,RW",56,CGY,34,$4.9,416.4,5.1,-65.2,-9.8,—,N/A,, ,81,17.2,19,22,41,189,3,5,2,3,60,146,-3,48,3,34,38,47%,,,,,,,,,,
601,Blake Lizotte,N,C,167,PIT,28,$1.9,215.2,2.9,-297.5,-44.6,—,N/A,, ,75,12.6,10,13,23,78,0,0,1,1,39,85,-5,34,1,248,248,50%,,,,,,,,,,
134,Bo Horvat,N,C,31,NYI,30,$8.5,532.6,6.5,19.9,3.0,76.0,-58.0,, ,81,20.3,31,33,64,245,6,12,2,2,44,86,0,24,5,795,615,56%,,,,,,,,,,
461,Bobby Brink,N,RW,100,PHI,24,$1.5,315.9,4.2,-182.2,-27.3,—,N/A,, ,76,15.3,14,25,40,111,3,7,0,0,31,87,-3,22,2,20,31,40%,,,,,,,,,,
372,Bobby McMann,N,LW,80,TOR,29,$1.4,358.1,4.8,-123.6,-18.5,—,N/A,, ,74,14.2,19,15,33,164,2,4,0,0,26,136,5,32,3,7,13,33%,,,,,,,,,,
345,Boone Jenner,N,"C,LW",75,CBJ,32,$3.8,371.8,5.5,-109.9,-16.5,173.0,-172.0,, ,67,17.7,19,19,37,168,4,7,1,1,57,104,-1,28,3,467,401,54%,,,,,,,,,,
194,Bowen Byram,N,D,78,BUF,24,$6.3,298.4,3.9,-24.5,-3.7,—,N/A,, ,77,21.1,9,25,34,90,1,3,0,1,108,81,0,43,1,0,0,0%,,,,,,,,,,
305,Brad Marchand,N,LW,65,FLA,37,$5.3,390.9,4.9,-90.8,-13.6,118.0,-187.0,, ,79,16.2,19,26,45,172,4,12,0,1,32,87,4,56,3,10,15,40%,,,,,,,,,,
125,Braden Schneider,N,D,48,NYR,24,$2.2,352.5,4.3,29.7,4.4,—,N/A,, ,82,19.1,7,21,28,110,1,6,1,2,143,146,1,24,1,0,0,0%,,,,,,,,,,
104,Brady Skjei,N,D,43,NSH,32,$7.0,363.8,4.5,41.0,6.1,—,N/A,, ,82,22.8,12,28,40,174,2,10,0,1,105,64,-7,44,2,0,0,0%,,,,,,,,,,
