RK,NAME,KEEP?,POS,,TEAM,AGE,SALARY,FP,/GP,VORP,/$,ADP,DIFF.,,ADJ,GP,TOI,G,A,PTS,SOG,PPG,PPP,SHG,SHP,BLK,HIT,+/-,PIM,GWG,FOW,FOL,FO%,,GP,W,L,OTL,SO,SV,GA,SV%,GAA
91,Tom Wilson,Y,RW,26,WSH,32,$6.5,358.7,4.4,23.9,1.9,126.1,35.1,, ,81,19.3,29,32,61,176,8,14,2,3,63,199,6,83,4,15,27,36%,,,,,,,,,,
92,Darnell Nurse,N,D,31,S.J,31,$9.3,267.2,3.2,23.4,1.9,130.1,38.1,, ,83,22.4,5,21,26,163,0,1,1,1,178,142,-2,64,1,0,0,0%,,,,,,,,,,
93,Spencer Knight,,G,12,CHI,25,$5.8,221.8,4.0,23.1,1.8,135.4,42.4,, ,,,,,,,,,,,,,,,,,,,,55,22,25,8,2,"1,614",172,0.904,3.12
94,Tomas Hertl,Y,"C,LW",25,VGK,32,$6.8,350.4,4.4,21.7,1.7,145.3,51.3,, ,80,17.2,28,33,60,194,14,26,0,0,47,104,3,26,5,689,515,57%,,,,,,,,,,
95,Roope Hintz,Y,C,29,DAL,29,$8.5,350.0,4.5,21.5,1.7,116.2,21.2,, ,78,18.2,28,42,70,192,9,26,0,1,37,76,8,30,5,555,432,56%,,,,,,,,,,
96,Jesper Bratt,Y,"LW,RW",27,N.J,28,$7.9,355.0,4.2,20.2,1.6,75.0,-21.0,, ,84,19.0,24,57,80,197,6,27,1,1,32,82,2,19,4,2,9,20%,,,,,,,,,,
97,Lukas Dostal,,G,13,ANA,26,$6.5,215.7,3.9,17.0,1.4,139.3,42.3,, ,,,,,,,,,,,,,,,,,,,,55,25,22,7,2,"1,507",168,0.900,3.06
98,Shayne Gostisbehere,N,D,32,CAR,33,$3.2,260.7,3.4,16.9,1.4,97.2,-0.8,, ,77,19.2,9,40,49,139,4,23,0,0,89,55,7,28,2,0,0,0%,,,,,,,,,,
99,Dustin Wolf,,G,14,CGY,25,$7.5,215.5,3.9,16.7,1.3,139.9,40.9,, ,,,,,,,,,,,,,,,,,,,,55,20,26,9,2,"1,565",164,0.905,2.99
100,Joel Eriksson Ek,Y,C,32,MIN,29,$5.3,343.2,4.5,14.7,1.2,141.8,41.8,,+,76,20.1,24,35,59,233,9,19,0,0,45,122,5,40,4,770,810,49%,,,,,,,,,,
101,Logan Cooley,Y,C,33,UTA,22,$10.0,343.2,4.4,14.6,1.2,118.2,17.2,,+ +,78,19.2,35,43,79,183,11,25,1,1,39,77,2,40,6,397,531,43%,,,,,,,,,,
