RK,NAME,KEEP?,POS,,TEAM,AGE,SALARY,FP,/GP,VORP,/$,ADP,DIFF.,,ADJ,GP,TOI,G,A,PTS,SOG,PPG,PPP,SHG,SHP,BLK,HIT,+/-,PIM,GWG,FOW,FOL,FO%,,GP,W,L,OTL,SO,SV,GA,SV%,GAA
49,Juraj Slafkovsky,Y,"LW,RW",16,MTL,22,$7.6,617.0,7.4,198.9,15.9,52.7,3.7,, ,84,18.7,27,42,70,180,12,24,0,0,73,131,4,48,5,18,33,35%,,,,,,,,,,
50,Joel Eriksson Ek,Y,C,32,MIN,29,$5.3,553.8,7.2,198.2,15.9,141.8,91.8,,+,76,20.1,24,35,59,233,9,19,0,0,45,122,5,40,4,770,810,49%,,,,,,,,,,
51,Dylan Holloway,Y,"C,LW",17,STL,24,$7.8,608.7,8.1,197.6,15.8,105.6,54.6,, ,75,18.7,29,40,70,207,7,16,0,0,50,152,2,26,4,41,43,49%,,,,,,,,,,
52,J.T. Miller,Y,"C,LW,RW",17,NYR,33,$8.0,613.7,7.7,195.6,15.6,112.2,60.2,, ,80,19.9,23,46,69,170,6,22,0,2,47,154,0,50,4,676,469,59%,,,,,,,,,,
53,Elias Pettersson,Y,C,33,VAN,27,$11.6,550.8,6.9,195.2,15.6,141.2,88.2,,-,80,20.3,21,41,62,161,7,23,1,2,109,81,-9,23,3,682,727,48%,,,,,,,,,,
54,Adrian Kempe,Y,RW,18,L.A,29,$10.6,611.4,7.3,193.3,15.5,52.7,-1.3,, ,83,19.2,34,41,75,239,6,17,0,1,39,116,1,51,5,42,73,37%,,,,,,,,,,
55,Andrei Vasilevskiy,,G,1,T.B,32,$9.5,510.6,9.3,190.1,15.2,11.9,-43.1,, ,,,,,,,,,,,,,,,,,,,,55,34,16,5,4,"1,469",142,0.912,2.59
56,Tom Wilson,Y,RW,19,WSH,32,$6.5,607.6,7.5,189.5,15.2,126.1,70.1,, ,81,19.3,29,32,61,176,8,14,2,3,63,199,6,83,4,15,27,36%,,,,,,,,,,
57,Alex DeBrincat,Y,"LW,RW",20,DET,28,$7.9,607.3,7.2,189.2,15.1,42.1,-14.9,, ,84,18.4,37,40,78,273,13,24,0,0,40,44,1,29,6,21,30,41%,,,,,,,,,,
58,Connor Hellebuyck,,G,2,WPG,33,$8.5,508.7,8.5,188.1,15.1,26.6,-31.4,, ,,,,,,,,,,,,,,,,,,,,60,31,21,7,4,"1,579",156,0.910,2.61
